date,price,open,high,low,vol.,change %,vol,perc_chg
16-08-2021,"1,643.60","1,654.90","1,655.05","1,638.37",,-0.85%,,
17-08-2021,"1,611.22","1,638.37","1,639.66","1,606.12",,-1.97%,,
18-08-2021,"1,612.73","1,606.44","1,622.01","1,598.59",,0.09%,,
19-08-2021,"1,576.82","1,614.10","1,614.52","1,572.93",,-2.23%,,
20-08-2021,"1,553.01","1,571.14","1,576.54","1,546.48",,-1.51%,,
23-08-2021,"1,573.86","1,558.60","1,590.36","1,557.43",,1.34%,,
24-08-2021,"1,624.56","1,580.84","1,624.84","1,580.84",,3.22%,,
25-08-2021,"1,644.47","1,638.59","1,655.91","1,633.87",,1.23%,,
26-08-2021,"1,635.76","1,645.49","1,652.61","1,629.82",,-0.53%,,
27-08-2021,"1,631.61","1,633.91","1,645.87","1,626.81",,-0.25%,,
30-08-2021,"1,642.69","1,634.19","1,642.78","1,626.28",,0.68%,,
31-08-2021,"1,674.54","1,641.92","1,674.89","1,621.26",,1.94%,,
01-09-2021,"1,682.60","1,679.40","1,690.22","1,668.10",,0.48%,,
02-09-2021,"1,690.00","1,687.61","1,703.43","1,682.55",,0.44%,,
03-09-2021,"1,690.10","1,690.15","1,694.78","1,676.10",,0.01%,,
06-09-2021,"1,711.43","1,690.72","1,711.74","1,687.74",,1.26%,,
07-09-2021,"1,711.73","1,711.70","1,720.01","1,705.04",,0.02%,,
08-09-2021,"1,709.61","1,715.41","1,723.53","1,700.92",,-0.12%,,
09-09-2021,"1,667.15","1,703.94","1,703.94","1,664.36",,-2.48%,,
10-09-2021,"1,688.63","1,665.60","1,689.39","1,662.27",,1.29%,,
13-09-2021,"1,664.32","1,686.33","1,688.09","1,651.98",,-1.44%,,
14-09-2021,"1,657.61","1,666.24","1,671.77","1,653.69",,-0.40%,,
15-09-2021,"1,638.75","1,655.40","1,656.65","1,635.85",,-1.14%,,
16-09-2021,"1,619.35","1,637.65","1,638.62","1,614.24",,-1.18%,,
17-09-2021,"1,630.24","1,617.83","1,637.05","1,610.67",,0.67%,,
20-09-2021,"1,604.10","1,627.18","1,627.18","1,596.33",,-1.60%,,
21-09-2021,"1,600.79","1,597.66","1,601.85","1,584.85",,-0.21%,,
22-09-2021,"1,592.28","1,600.51","1,600.51","1,591.17",,-0.53%,,
23-09-2021,"1,610.27","1,596.19","1,615.40","1,593.69",,1.13%,,
24-09-2021,"1,606.73","1,611.35","1,620.31","1,603.41",,-0.22%,,
27-09-2021,"1,608.49","1,603.42","1,620.38","1,601.50",,0.11%,,
28-09-2021,"1,610.97","1,612.07","1,621.40","1,602.88",,0.15%,,
29-09-2021,"1,592.56","1,605.88","1,605.88","1,574.33",,-1.14%,,
30-09-2021,"1,582.48","1,588.24","1,589.82","1,572.45",,-0.63%,,
01-10-2021,"1,576.00","1,585.15","1,585.15","1,572.31",,-0.41%,,
04-10-2021,"1,557.34","1,575.26","1,581.85","1,554.37",,-1.18%,,
05-10-2021,"1,545.95","1,552.44","1,552.44","1,524.53",,-0.73%,,
06-10-2021,"1,536.15","1,548.88","1,556.61","1,535.53",,-0.63%,,
07-10-2021,"1,579.09","1,541.25","1,581.42","1,541.25",,2.80%,,
08-10-2021,"1,594.76","1,586.32","1,605.43","1,584.26",,0.99%,,
11-10-2021,"1,616.12","1,596.38","1,622.54","1,596.32",,1.34%,,
12-10-2021,"1,588.38","1,615.04","1,615.04","1,581.90",,-1.72%,,
13-10-2021,"1,590.69","1,587.16","1,591.32","1,585.92",,0.15%,,
14-10-2021,"1,601.45","1,597.64","1,603.40","1,597.64",,0.68%,,
15-10-2021,"1,629.43","1,604.83","1,630.08","1,604.00",,1.75%,,
18-10-2021,"1,627.98","1,631.44","1,633.64","1,616.37",,-0.09%,,
19-10-2021,"1,657.02","1,633.62","1,657.98","1,633.62",,1.78%,,
20-10-2021,"1,675.90","1,661.05","1,685.60","1,660.85",,1.14%,,
21-10-2021,"1,666.05","1,677.34","1,680.05","1,658.31",,-0.59%,,
22-10-2021,"1,672.67","1,664.86","1,674.93","1,660.99",,0.40%,,
25-10-2021,"1,667.99","1,670.73","1,676.04","1,659.22",,-0.28%,,
26-10-2021,"1,674.44","1,671.20","1,678.65","1,668.19",,0.39%,,
27-10-2021,"1,646.65","1,667.41","1,668.24","1,643.19",,-1.66%,,
28-10-2021,"1,642.91","1,646.20","1,653.17","1,642.12",,-0.23%,,
29-10-2021,"1,625.83","1,646.10","1,648.11","1,625.54",,-1.04%,,
01-11-2021,"1,612.57","1,619.98","1,623.69","1,606.62",,-0.82%,,
02-11-2021,"1,624.22","1,619.40","1,646.52","1,619.40",,0.72%,,
03-11-2021,"1,616.83","1,620.92","1,622.39","1,607.19",,-0.45%,,
04-11-2021,"1,627.77","1,619.14","1,634.40","1,619.14",,0.68%,,
05-11-2021,"1,618.36","1,627.25","1,630.34","1,614.91",,-0.58%,,
08-11-2021,"1,614.47","1,617.65","1,618.12","1,600.37",,-0.24%,,
09-11-2021,"1,624.74","1,612.08","1,631.94","1,611.50",,0.64%,,
10-11-2021,"1,629.67","1,620.49","1,630.28","1,611.21",,0.30%,,
11-11-2021,"1,627.27","1,627.27","1,629.59","1,611.01",,-0.15%,,
12-11-2021,"1,645.56","1,635.56","1,651.77","1,635.56",,1.12%,,
15-11-2021,"1,658.23","1,647.72","1,663.79","1,647.72",,0.77%,,
16-11-2021,"1,665.60","1,654.45","1,670.46","1,653.93",,0.44%,,
17-11-2021,"1,662.35","1,666.05","1,666.84","1,658.03",,-0.20%,,
18-11-2021,"1,643.10","1,658.71","1,660.71","1,639.53",,-1.16%,,
19-11-2021,"1,628.84","1,642.86","1,648.39","1,622.58",,-0.87%,,
22-11-2021,"1,631.50","1,630.97","1,641.84","1,630.35",,0.16%,,
23-11-2021,"1,611.47","1,628.75","1,630.49","1,608.41",,-1.23%,,
24-11-2021,"1,602.87","1,611.92","1,614.61","1,600.09",,-0.53%,,
25-11-2021,"1,606.71","1,603.58","1,608.33","1,597.64",,0.24%,,
26-11-2021,"1,571.36","1,606.95","1,607.99","1,570.85",,-2.20%,,
29-11-2021,"1,562.57","1,567.04","1,574.57","1,557.95",,-0.56%,,
30-11-2021,"1,548.48","1,562.64","1,568.74","1,535.93",,-0.90%,,
01-12-2021,"1,571.95","1,548.50","1,578.86","1,547.12",,1.52%,,
02-12-2021,"1,583.76","1,569.55","1,584.61","1,564.04",,0.75%,,
03-12-2021,"1,564.86","1,582.14","1,582.14","1,556.22",,-1.19%,,
06-12-2021,"1,533.95","1,559.02","1,559.02","1,532.37",,-1.98%,,
