date,price,open,high,low,vol.,change %,vol,perc_chg
2024-05-21,"2,379.88","2,385.61","2,386.92","2,369.43",,-0.26%,,
2024-05-22,"2,363.44","2,376.20","2,378.18","2,359.32",,-0.69%,,
2024-05-23,"2,364.38","2,360.75","2,376.37","2,357.62",,0.04%,,
2024-05-24,"2,358.87","2,357.18","2,361.68","2,343.50",,-0.23%,,
2024-05-27,"2,373.45","2,360.78","2,373.45","2,360.42",,0.62%,,
2024-05-28,"2,365.87","2,372.92","2,378.34","2,360.81",,-0.32%,,
2024-05-29,"2,329.02","2,360.00","2,361.71","2,326.39",,-1.56%,,
2024-05-30,"2,339.62","2,321.80","2,340.60","2,315.54",,0.46%,,
2024-05-31,"2,355.67","2,339.62","2,362.09","2,339.05",,0.69%,,
2024-06-03,"2,374.11","2,359.28","2,381.21","2,359.28",,0.78%,,
2024-06-04,"2,369.23","2,376.88","2,380.89","2,360.84",,-0.21%,,
2024-06-05,"2,368.02","2,367.59","2,376.26","2,358.01",,-0.05%,,
2024-06-06,"2,386.13","2,375.43","2,390.86","2,375.43",,0.76%,,
2024-06-07,"2,368.97","2,389.28","2,394.19","2,362.54",,-0.72%,,
2024-06-10,"2,358.75","2,366.83","2,370.19","2,350.37",,-0.43%,,
2024-06-11,"2,337.56","2,362.52","2,363.27","2,332.85",,-0.90%,,
2024-06-12,"2,373.78","2,336.78","2,376.20","2,334.11",,1.55%,,
2024-06-13,"2,334.78","2,365.83","2,366.17","2,330.08",,-1.64%,,
2024-06-14,"2,306.41","2,328.72","2,331.72","2,299.43",,-1.22%,,
2024-06-17,"2,299.29","2,303.71","2,308.77","2,290.43",,-0.31%,,
2024-06-18,"2,318.80","2,308.57","2,321.52","2,305.45",,0.85%,,
2024-06-19,"2,322.10","2,322.25","2,326.32","2,318.91",,0.14%,,
2024-06-20,"2,328.14","2,319.07","2,328.14","2,315.49",,0.26%,,
2024-06-21,"2,307.56","2,326.11","2,329.18","2,304.90",,-0.88%,,
2024-06-24,"2,326.82","2,307.07","2,333.05","2,305.93",,0.83%,,
2024-06-25,"2,331.29","2,329.99","2,341.87","2,327.23",,0.19%,,
2024-06-26,"2,319.95","2,333.54","2,342.55","2,314.73",,-0.49%,,
2024-06-27,"2,313.87","2,317.42","2,321.42","2,311.05",,-0.26%,,
2024-06-28,"2,314.63","2,315.26","2,323.12","2,310.80",,0.03%,,
2024-07-01,"2,320.11","2,319.58","2,341.26","2,317.42",,0.24%,,
2024-07-02,"2,323.31","2,321.92","2,327.45","2,310.91",,0.14%,,
2024-07-03,"2,349.27","2,325.23","2,353.68","2,323.15",,1.12%,,
2024-07-04,"2,367.78","2,349.00","2,369.56","2,349.00",,0.79%,,
2024-07-05,"2,364.30","2,367.00","2,377.53","2,357.08",,-0.15%,,
2024-07-08,"2,361.01","2,365.87","2,371.13","2,356.18",,-0.14%,,
2024-07-09,"2,349.55","2,359.57","2,368.11","2,346.00",,-0.49%,,
2024-07-10,"2,367.59","2,349.12","2,368.59","2,347.86",,0.77%,,
2024-07-11,"2,402.63","2,374.85","2,407.95","2,373.92",,1.48%,,
2024-07-12,"2,418.31","2,396.53","2,420.08","2,389.40",,0.65%,,
2024-07-15,"2,402.82","2,412.49","2,418.71","2,398.77",,-0.64%,,
2024-07-16,"2,389.87","2,400.62","2,402.97","2,384.71",,-0.54%,,
2024-07-17,"2,400.04","2,397.10","2,407.92","2,389.82",,0.43%,,
2024-07-18,"2,382.57","2,402.15","2,403.02","2,375.07",,-0.73%,,
2024-07-19,"2,360.51","2,375.01","2,375.11","2,357.73",,-0.93%,,
2024-07-22,"2,366.94","2,360.85","2,373.21","2,350.18",,0.27%,,
2024-07-23,"2,367.52","2,369.79","2,378.44","2,364.37",,0.02%,,
2024-07-24,"2,360.08","2,365.98","2,368.29","2,346.89",,-0.31%,,
2024-07-25,"2,325.45","2,350.07","2,350.33","2,312.35",,-1.47%,,
2024-07-26,"2,337.59","2,322.78","2,339.81","2,320.76",,0.52%,,
2024-07-29,"2,339.90","2,339.32","2,359.66","2,336.78",,0.10%,,
2024-07-30,"2,340.81","2,337.86","2,348.34","2,332.80",,0.04%,,
2024-07-31,"2,381.44","2,347.62","2,388.21","2,343.48",,1.74%,,
2024-08-01,"2,342.05","2,381.80","2,382.22","2,338.83",,-1.65%,,
2024-08-02,"2,291.33","2,340.20","2,340.34","2,280.65",,-2.17%,,
2024-08-05,"2,206.30","2,291.85","2,292.29","2,179.41",,-3.71%,,
2024-08-06,"2,243.75","2,193.91","2,250.22","2,193.90",,1.70%,,
2024-08-07,"2,270.73","2,239.93","2,276.47","2,232.45",,1.20%,,
2024-08-08,"2,263.70","2,270.04","2,276.73","2,250.89",,-0.31%,,
2024-08-09,"2,283.63","2,267.21","2,286.89","2,265.86",,0.88%,,
2024-08-12,"2,280.03","2,280.09","2,288.41","2,276.64",,-0.16%,,
2024-08-13,"2,311.74","2,285.78","2,319.38","2,285.78",,1.39%,,
2024-08-14,"2,338.29","2,319.80","2,338.29","2,318.95",,1.15%,,
2024-08-15,"2,345.64","2,332.45","2,347.61","2,332.45",,0.31%,,
2024-08-16,"2,374.84","2,345.89","2,382.37","2,345.88",,1.24%,,
2024-08-19,"2,396.16","2,378.70","2,399.27","2,375.88",,0.90%,,
2024-08-20,"2,405.56","2,401.86","2,408.99","2,399.82",,0.39%,,
2024-08-21,"2,411.29","2,404.77","2,423.16","2,402.15",,0.24%,,
2024-08-22,"2,414.70","2,416.88","2,426.11","2,411.44",,0.14%,,
2024-08-23,"2,439.48","2,416.00","2,447.26","2,415.35",,1.03%,,
2024-08-26,"2,439.35","2,444.31","2,445.39","2,434.84",,-0.01%,,
2024-08-27,"2,444.43","2,436.94","2,449.83","2,434.16",,0.21%,,
2024-08-28,"2,446.90","2,446.44","2,451.62","2,441.49",,0.10%,,
2024-08-29,"2,447.79","2,444.28","2,455.34","2,442.91",,0.04%,,
2024-08-30,"2,453.44","2,452.40","2,464.41","2,446.14",,0.23%,,
2024-09-02,"2,449.04","2,450.54","2,452.47","2,440.46",,-0.18%,,
2024-09-03,"2,434.84","2,449.38","2,454.96","2,431.89",,-0.58%,,
2024-09-04,"2,405.88","2,435.19","2,435.19","2,391.94",,-1.19%,,
2024-09-05,"2,392.86","2,402.86","2,411.35","2,392.86",,-0.54%,,
2024-09-06,"2,383.01","2,399.09","2,405.15","2,372.96",,-0.41%,,
2024-09-09,"2,376.62","2,374.33","2,380.11","2,357.19",,-0.27%,,
2024-09-10,"2,362.86","2,375.72","2,378.59","2,360.25",,-0.58%,,
2024-09-11,"2,357.45","2,363.36","2,370.35","2,349.85",,-0.23%,,
2024-09-12,"2,388.16","2,355.70","2,396.60","2,355.33",,1.30%,,
2024-09-13,"2,410.81","2,399.15","2,414.74","2,395.87",,0.95%,,
2024-09-16,"2,415.22","2,409.26","2,422.24","2,409.26",,0.18%,,
2024-09-17,"2,413.30","2,415.97","2,426.69","2,404.38",,-0.08%,,
2024-09-18,"2,405.14","2,414.74","2,423.46","2,398.51",,-0.34%,,
2024-09-19,"2,440.62","2,405.42","2,449.16","2,403.09",,1.48%,,
2024-09-20,"2,420.93","2,448.82","2,460.12","2,419.16",,-0.81%,,
2024-09-23,"2,429.32","2,422.95","2,431.49","2,415.88",,0.35%,,
2024-09-24,"2,447.52","2,431.57","2,453.89","2,426.51",,0.75%,,
2024-09-25,"2,444.28","2,456.13","2,457.58","2,434.92",,-0.13%,,
2024-09-26,"2,480.25","2,439.49","2,485.64","2,439.18",,1.47%,,
2024-09-27,"2,506.69","2,480.57","2,510.54","2,473.80",,1.07%,,
2024-09-30,"2,468.66","2,506.01","2,506.43","2,457.38",,-1.52%,,
2024-10-01,"2,454.84","2,462.92","2,471.86","2,448.66",,-0.56%,,
2024-10-02,"2,433.62","2,453.60","2,453.94","2,430.03",,-0.86%,,
2024-10-03,"2,420.03","2,433.85","2,446.17","2,415.97",,-0.56%,,
2024-10-04,"2,413.03","2,422.14","2,429.99","2,408.40",,-0.29%,,
2024-10-07,"2,428.77","2,411.65","2,433.60","2,410.86",,0.65%,,
2024-10-08,"2,404.93","2,431.46","2,431.54","2,400.96",,-0.98%,,
2024-10-09,"2,410.53","2,407.34","2,413.33","2,402.26",,0.23%,,
2024-10-10,"2,409.40","2,409.21","2,416.59","2,405.27",,-0.05%,,
