date,price,open,high,low,change %,vol,perc_chg
2016-04-22,845.21,851.49,851.52,843.48,-0.99%,,
2016-04-25,839.2,844.13,844.25,838.24,-0.71%,,
2016-04-26,842.63,838.68,843.86,835.51,0.41%,,
2016-04-27,843.17,843.93,844.71,840.81,0.06%,,
2016-04-28,844.06,845.15,846.76,840.97,0.11%,,
2016-04-29,840.19,844.31,844.31,837.4,-0.46%,,
2016-05-02,835.57,839.24,839.5,834.66,-0.55%,,
2016-05-03,821.09,836.83,837.14,818.77,-1.73%,,
2016-05-04,813.52,819.09,819.14,810.6,-0.92%,,
2016-05-05,809.46,811,811.83,807.23,-0.50%,,
2016-05-06,805.34,807.46,807.63,800.3,-0.51%,,
2016-05-09,800.91,804.68,807.2,796.16,-0.55%,,
2016-05-10,806.91,799.37,807.17,796.98,0.75%,,
2016-05-11,807.97,807.22,809.86,804.69,0.13%,,
2016-05-12,806.68,808.42,809.03,803.89,-0.16%,,
2016-05-13,796.07,805.65,805.76,794.42,-1.32%,,
2016-05-16,797.43,793.84,799.62,793.16,0.17%,,
2016-05-17,801.64,797.92,804.38,797.73,0.53%,,
2016-05-18,794.22,801.18,801.18,790.51,-0.93%,,
2016-05-19,781.84,791.5,791.5,780.68,-1.56%,,
2016-05-20,785.26,783.65,787.96,783.21,0.44%,,
2016-05-23,788.9,786.1,792.61,785.97,0.46%,,
2016-05-24,787.99,788.95,789.11,783.3,-0.12%,,
2016-05-25,799.68,788.69,802.77,788.69,1.48%,,
2016-05-26,802.93,800.7,805.31,799.41,0.41%,,
2016-05-27,808.29,804.09,809.6,803.56,0.67%,,
2016-05-30,807.66,807.52,808.57,804.56,-0.08%,,
2016-05-31,807.45,807.35,812.25,806.82,-0.03%,,
2016-06-01,807.22,807.41,810.33,805.3,-0.03%,,
2016-06-02,809.34,807.41,809.97,806.75,0.26%,,
2016-06-03,816.18,809.69,821.22,809.18,0.85%,,
2016-06-06,823.26,821.04,826.65,820.15,0.87%,,
2016-06-07,835.9,826.64,838.36,826.54,1.54%,,
2016-06-08,842.38,838.25,844.28,837.03,0.78%,,
2016-06-09,837.03,843.5,844.5,835.87,-0.64%,,
2016-06-10,823.82,836.57,836.57,821.1,-1.58%,,
2016-06-13,809.46,821.01,821.01,807.57,-1.74%,,
2016-06-14,803.06,808.45,809.02,801.62,-0.79%,,
2016-06-15,808.19,802.91,810.3,799.31,0.64%,,
2016-06-16,799.78,809.33,809.49,794.96,-1.04%,,
2016-06-17,806.22,801.62,807.54,801.62,0.81%,,
2016-06-20,821.17,808.63,822.55,808.63,1.85%,,
2016-06-21,825.35,820.54,826.45,820.08,0.51%,,
2016-06-22,829.33,825.42,832.32,823.23,0.48%,,
2016-06-23,835.43,830.5,838.5,829.07,0.74%,,
2016-06-24,805.87,837.79,838.19,801.69,-3.54%,,
2016-06-27,794.56,803.17,804.35,792.99,-1.40%,,
2016-06-28,805.24,794.25,807.52,792.31,1.34%,,
2016-06-29,821.82,807.61,823.33,807.11,2.06%,,
2016-06-30,834.1,823.55,834.33,823.45,1.49%,,
2016-07-01,839.25,833.54,840.18,833.54,0.62%,,
