date,price,open,high,low,vol.,change %,vol,perc_chg
08-10-2018,441.73,446.97,448.1,440.55,,-1.23%,,
09-10-2018,440.58,441.63,443.07,440.12,,-0.26%,,
10-10-2018,438.35,440.56,442.8,437.44,,-0.51%,,
11-10-2018,421.92,436.94,436.94,419.99,,-3.75%,,
12-10-2018,433.83,422.96,433.91,422.95,,2.82%,,
15-10-2018,428.53,433.74,433.74,428.53,,-1.22%,,
16-10-2018,431.5,428.64,432.1,428.25,,0.69%,,
17-10-2018,431.94,432.2,434.67,431.6,,0.10%,,
18-10-2018,428.17,431.69,432.69,427.76,,-0.87%,,
19-10-2018,428.9,427.97,430.53,424.18,,0.17%,,
22-10-2018,434.8,428.93,435.07,427.52,,1.38%,,
23-10-2018,423.96,434.22,434.22,423.01,,-2.49%,,
24-10-2018,421.47,424.22,427.25,420.8,,-0.59%,,
25-10-2018,417.67,420.94,420.94,412.68,,-0.90%,,
26-10-2018,413.21,418.05,418.16,411.28,,-1.07%,,
29-10-2018,411.67,413.41,415.91,411.02,,-0.37%,,
30-10-2018,411.65,411.58,414.15,409.66,,0.00%,,
31-10-2018,420.75,411.86,420.78,411.42,,2.21%,,
01-11-2018,426.96,420.5,428.38,420.44,,1.48%,,
02-11-2018,440.95,428.23,443.19,428.23,,3.28%,,
05-11-2018,434.47,441.09,441.09,432.82,,-1.47%,,
06-11-2018,435.98,434.73,436.8,432.87,,0.35%,,
07-11-2018,438.22,436.18,440.27,435.18,,0.51%,,
08-11-2018,438.79,440.18,443.24,438.4,,0.13%,,
09-11-2018,430.88,438.77,439.21,430.39,,-1.80%,,
12-11-2018,428.13,430.54,431.62,427.36,,-0.64%,,
13-11-2018,429.86,427.65,430.71,421.16,,0.40%,,
14-11-2018,429.45,429.98,430.85,427.82,,-0.10%,,
15-11-2018,436.08,429.73,436.68,429.23,,1.54%,,
16-11-2018,436.79,436.32,437.75,434.73,,0.16%,,
19-11-2018,437.78,437.26,439.08,436.28,,0.23%,,
20-11-2018,431.0,437.23,437.23,430.25,,-1.55%,,
21-11-2018,431.97,430.43,432.88,426.3,,0.23%,,
22-11-2018,432.16,431.78,433.58,431.62,,0.04%,,
23-11-2018,430.54,431.89,432.71,429.39,,-0.37%,,
26-11-2018,436.71,430.35,436.99,430.35,,1.43%,,
27-11-2018,437.24,436.77,437.83,434.3,,0.12%,,
28-11-2018,441.89,437.26,442.36,436.75,,1.06%,,
29-11-2018,442.6,442.68,445.83,442.0,,0.16%,,
30-11-2018,443.1,443.13,444.42,441.93,,0.11%,,
03-12-2018,453.52,443.99,454.16,443.99,,2.35%,,
04-12-2018,452.64,453.6,454.26,451.07,,-0.19%,,
05-12-2018,446.64,451.74,451.74,445.46,,-1.33%,,
06-12-2018,436.52,446.43,446.43,435.19,,-2.27%,,
07-12-2018,436.41,436.82,439.03,435.53,,-0.03%,,
10-12-2018,429.91,435.58,435.58,428.1,,-1.49%,,
11-12-2018,430.08,428.84,430.9,428.37,,0.04%,,
12-12-2018,436.29,430.24,437.64,430.24,,1.44%,,
13-12-2018,440.27,436.84,441.38,436.73,,0.91%,,
14-12-2018,434.14,440.32,440.4,433.16,,-1.39%,,
17-12-2018,433.29,434.01,435.15,433.14,,-0.20%,,
18-12-2018,429.88,433.25,433.48,429.25,,-0.79%,,
19-12-2018,431.77,430.41,433.25,430.41,,0.44%,,
20-12-2018,428.05,430.8,430.8,425.91,,-0.86%,,
21-12-2018,427.32,428.46,428.87,424.49,,-0.17%,,
24-12-2018,425.23,426.33,426.35,423.79,,-0.49%,,
25-12-2018,424.27,424.49,424.65,424.1,,-0.23%,,
26-12-2018,424.56,424.33,424.7,421.82,,0.07%,,
27-12-2018,426.28,425.42,429.06,425.15,,0.41%,,
28-12-2018,429.15,426.37,430.09,426.37,,0.67%,,
31-12-2018,431.09,429.53,432.71,429.53,,0.45%,,
01-01-2019,431.23,431.7,431.99,431.23,,0.03%,,
02-01-2019,423.31,431.91,432.41,422.05,,-1.84%,,
03-01-2019,418.68,422.99,423.58,418.64,,-1.09%,,
04-01-2019,424.92,418.8,425.87,416.17,,1.49%,,
07-01-2019,431.34,425.92,431.55,425.92,,1.51%,,
08-01-2019,430.65,431.0,431.7,429.26,,-0.16%,,
09-01-2019,438.94,430.89,439.53,430.89,,1.92%,,
10-01-2019,440.6,439.39,441.05,437.31,,0.38%,,
11-01-2019,442.29,440.68,442.98,440.59,,0.38%,,
14-01-2019,436.9,442.08,442.08,436.47,,-1.22%,,
15-01-2019,444.45,437.0,444.96,437.0,,1.73%,,
16-01-2019,446.01,444.27,446.32,441.84,,0.35%,,
17-01-2019,445.63,446.29,447.69,444.67,,-0.09%,,
18-01-2019,449.54,446.1,449.68,445.73,,0.88%,,
21-01-2019,450.24,449.06,451.47,449.06,,0.16%,,
22-01-2019,446.62,449.83,450.2,446.25,,-0.80%,,
23-01-2019,446.2,446.55,447.44,445.07,,-0.09%,,
24-01-2019,449.23,446.36,449.48,445.82,,0.68%,,
25-01-2019,456.06,449.37,456.77,449.37,,1.52%,,
28-01-2019,455.74,456.72,459.03,454.78,,-0.07%,,
29-01-2019,454.85,455.47,455.64,452.51,,-0.20%,,
30-01-2019,458.06,454.65,458.77,453.24,,0.71%,,
31-01-2019,462.61,458.86,463.13,458.56,,0.99%,,
01-02-2019,463.08,462.84,465.04,461.94,,0.10%,,
04-02-2019,462.75,462.98,463.48,462.12,,-0.07%,,
05-02-2019,464.05,462.55,464.21,462.33,,0.28%,,
06-02-2019,464.57,464.04,464.7,464.01,,0.11%,,
07-02-2019,463.44,464.42,464.89,462.79,,-0.24%,,
08-02-2019,461.17,463.13,463.13,459.02,,-0.49%,,
11-02-2019,462.72,461.09,463.15,460.13,,0.34%,,
12-02-2019,464.32,462.38,464.87,462.02,,0.35%,,
13-02-2019,467.22,464.74,467.69,464.74,,0.62%,,
14-02-2019,466.6,466.81,467.29,465.06,,-0.13%,,
15-02-2019,459.84,466.35,466.35,459.53,,-1.45%,,
18-02-2019,464.12,460.13,465.21,460.13,,0.93%,,
19-02-2019,463.53,464.12,465.48,462.53,,-0.13%,,
20-02-2019,469.79,464.17,470.67,464.17,,1.35%,,
21-02-2019,471.38,469.94,472.6,468.19,,0.34%,,
22-02-2019,474.39,471.36,474.85,468.86,,0.64%,,
25-02-2019,478.75,474.84,479.51,474.77,,0.92%,,
26-02-2019,477.15,479.17,479.53,476.48,,-0.33%,,
27-02-2019,476.1,477.53,479.06,475.1,,-0.22%,,
28-02-2019,472.26,476.29,476.37,471.79,,-0.81%,,
01-03-2019,474.39,472.19,474.79,472.08,,0.45%,,
04-03-2019,475.86,474.08,477.53,473.63,,0.31%,,
05-03-2019,476.32,475.58,476.62,473.3,,0.10%,,
06-03-2019,476.83,476.16,477.66,475.92,,0.11%,,
07-03-2019,472.67,477.07,477.55,471.88,,-0.87%,,
08-03-2019,464.59,471.97,471.97,464.02,,-1.71%,,
11-03-2019,468.93,464.95,469.21,464.24,,0.93%,,
12-03-2019,474.3,469.19,475.29,469.19,,1.15%,,
13-03-2019,473.26,474.47,474.47,471.23,,-0.22%,,
14-03-2019,472.43,473.46,474.17,471.63,,-0.18%,,
15-03-2019,475.82,472.3,476.73,472.27,,0.72%,,
18-03-2019,481.17,476.17,481.48,475.96,,1.12%,,
19-03-2019,481.72,481.25,482.01,480.4,,0.11%,,
20-03-2019,480.76,481.67,481.67,479.21,,-0.20%,,
21-03-2019,481.41,481.52,483.85,480.85,,0.14%,,
22-03-2019,480.69,481.49,483.4,479.81,,-0.15%,,
25-03-2019,473.02,479.79,479.79,471.69,,-1.60%,,
26-03-2019,474.53,472.96,475.13,472.93,,0.32%,,
27-03-2019,474.64,474.26,475.73,473.28,,0.02%,,
28-03-2019,474.98,473.93,474.99,472.11,,0.07%,,
29-03-2019,480.36,475.05,480.36,474.71,,1.13%,,
01-04-2019,485.51,480.21,486.07,480.21,,1.07%,,
02-04-2019,487.27,485.58,487.88,485.58,,0.36%,,
03-04-2019,491.3,487.2,491.97,486.97,,0.83%,,
04-04-2019,490.75,491.32,492.26,489.57,,-0.11%,,
05-04-2019,491.99,490.86,492.06,490.76,,0.25%,,
08-04-2019,492.93,492.04,494.4,491.05,,0.19%,,
09-04-2019,495.28,493.16,495.61,492.52,,0.48%,,
10-04-2019,495.5,495.37,496.21,492.96,,0.04%,,
11-04-2019,492.0,495.6,496.51,491.61,,-0.71%,,
12-04-2019,493.55,491.69,494.22,490.45,,0.32%,,
15-04-2019,492.92,494.01,498.02,492.63,,-0.13%,,
16-04-2019,495.7,492.78,495.81,491.4,,0.56%,,
17-04-2019,496.88,495.68,497.52,495.33,,0.24%,,
18-04-2019,494.65,497.45,497.57,493.83,,-0.45%,,
19-04-2019,494.66,494.63,495.51,494.56,,0.00%,,
22-04-2019,492.86,494.9,495.26,492.49,,-0.36%,,
23-04-2019,493.38,492.92,493.43,491.08,,0.11%,,
24-04-2019,491.79,493.21,494.85,490.15,,-0.32%,,
25-04-2019,487.61,491.01,491.27,486.61,,-0.85%,,
26-04-2019,487.62,487.63,488.01,486.0,,0.00%,,
29-04-2019,491.28,487.86,491.5,487.86,,0.75%,,
30-04-2019,489.5,491.31,491.31,487.85,,-0.36%,,
01-05-2019,489.87,490.06,491.29,489.87,,0.08%,,
02-05-2019,491.66,489.83,492.14,489.57,,0.37%,,
03-05-2019,492.7,491.52,493.27,488.97,,0.21%,,
06-05-2019,481.93,492.04,492.08,481.14,,-2.19%,,
07-05-2019,481.39,481.79,484.22,480.33,,-0.11%,,
08-05-2019,476.57,480.65,480.65,476.07,,-1.00%,,
09-05-2019,466.44,476.25,476.25,464.46,,-2.13%,,
10-05-2019,468.71,466.16,472.16,465.41,,0.49%,,
13-05-2019,462.27,468.58,468.58,461.52,,-1.37%,,
14-05-2019,459.43,461.38,462.02,456.48,,-0.61%,,
15-05-2019,461.05,459.53,462.7,459.22,,0.35%,,
16-05-2019,459.22,461.19,461.84,458.8,,-0.40%,,
17-05-2019,452.63,458.98,460.91,452.27,,-1.44%,,
20-05-2019,451.37,452.55,454.11,451.09,,-0.28%,,
21-05-2019,451.93,451.39,454.45,450.68,,0.12%,,
22-05-2019,451.51,452.27,453.62,451.35,,-0.09%,,
23-05-2019,446.17,452.01,452.01,445.69,,-1.18%,,
24-05-2019,447.52,446.42,448.49,445.58,,0.30%,,
27-05-2019,448.17,447.83,449.04,446.2,,0.15%,,
28-05-2019,448.81,448.17,450.45,447.46,,0.14%,,
29-05-2019,445.59,448.58,448.58,445.11,,-0.72%,,
30-05-2019,447.05,445.58,447.55,444.9,,0.33%,,
31-05-2019,447.75,447.14,449.23,446.21,,0.16%,,
03-06-2019,451.72,448.09,452.38,447.68,,0.89%,,
04-06-2019,450.42,452.1,452.33,448.83,,-0.29%,,
05-06-2019,451.54,451.04,454.22,450.91,,0.25%,,
06-06-2019,450.69,451.22,451.47,450.01,,-0.19%,,
07-06-2019,451.44,450.83,451.86,449.76,,0.17%,,
10-06-2019,458.94,451.67,459.74,451.63,,1.66%,,
11-06-2019,463.3,459.17,464.1,458.85,,0.95%,,
12-06-2019,459.77,463.54,463.85,459.4,,-0.76%,,
13-06-2019,458.45,459.59,459.59,454.59,,-0.29%,,
14-06-2019,455.28,458.54,458.54,454.99,,-0.69%,,
17-06-2019,453.98,455.13,457.23,453.62,,-0.29%,,
18-06-2019,458.73,454.04,460.43,453.98,,1.05%,,
19-06-2019,467.88,460.14,468.87,460.14,,1.99%,,
20-06-2019,474.79,468.52,475.98,468.35,,1.48%,,
21-06-2019,473.77,475.48,475.94,473.09,,-0.21%,,
24-06-2019,474.78,474.28,475.84,473.21,,0.21%,,
25-06-2019,472.0,475.53,475.82,471.64,,-0.59%,,
26-06-2019,473.06,472.23,473.49,469.95,,0.22%,,
27-06-2019,478.08,473.77,478.46,473.39,,1.06%,,
28-06-2019,477.21,478.39,478.68,476.43,,-0.18%,,
01-07-2019,480.98,477.73,481.47,477.61,,0.79%,,
02-07-2019,483.62,480.77,484.14,479.95,,0.55%,,
03-07-2019,480.93,483.74,483.93,480.42,,-0.56%,,
04-07-2019,482.16,481.15,483.41,481.15,,0.26%,,
05-07-2019,480.56,482.27,482.36,479.8,,-0.33%,,
08-07-2019,472.09,480.1,480.1,472.09,,-1.76%,,
09-07-2019,470.56,472.46,472.75,469.22,,-0.32%,,
10-07-2019,472.12,470.89,473.57,470.89,,0.33%,,
11-07-2019,475.75,473.01,477.1,473.01,,0.77%,,
12-07-2019,474.98,475.69,476.62,474.56,,-0.16%,,
15-07-2019,477.94,475.06,477.94,471.8,,0.62%,,
16-07-2019,479.55,477.86,479.8,477.73,,0.34%,,
17-07-2019,477.78,479.41,479.41,476.75,,-0.37%,,
18-07-2019,475.49,477.9,477.94,475.49,,-0.48%,,
19-07-2019,479.66,476.5,480.8,476.5,,0.88%,,
22-07-2019,477.07,479.51,479.94,476.32,,-0.54%,,
23-07-2019,478.68,477.23,478.68,477.17,,0.34%,,
24-07-2019,478.39,478.64,480.67,477.96,,-0.06%,,
25-07-2019,479.22,478.39,479.99,477.91,,0.17%,,
26-07-2019,476.4,478.93,478.93,476.0,,-0.59%,,
29-07-2019,473.06,476.44,476.44,472.22,,-0.70%,,
30-07-2019,472.52,473.29,474.85,472.39,,-0.11%,,
31-07-2019,468.78,472.56,472.64,467.52,,-0.79%,,
01-08-2019,463.65,468.16,468.16,462.32,,-1.09%,,
02-08-2019,454.42,462.54,462.61,453.59,,-1.99%,,
05-08-2019,440.33,453.64,453.64,439.49,,-3.10%,,
06-08-2019,438.9,439.51,439.71,432.86,,-0.32%,,
07-08-2019,438.76,439.06,439.82,437.01,,-0.03%,,
08-08-2019,443.56,438.98,443.97,438.68,,1.09%,,
09-08-2019,442.09,444.09,445.67,441.56,,-0.33%,,
12-08-2019,440.5,441.58,443.35,440.07,,-0.36%,,
13-08-2019,435.52,440.52,440.52,433.76,,-1.13%,,
14-08-2019,437.72,437.42,441.72,436.85,,0.51%,,
15-08-2019,438.52,437.34,438.68,433.5,,0.18%,,
16-08-2019,442.42,438.23,442.86,436.21,,0.89%,,
19-08-2019,448.33,442.65,448.54,442.61,,1.34%,,
20-08-2019,448.82,448.31,450.27,447.85,,0.11%,,
21-08-2019,448.86,449.06,450.29,447.94,,0.01%,,
