Reporting Date,Debt/Equity,Investment Route,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
19-Jan-10,Equity,Sub-total,2619.8,2325.2,294.7,64.54,Rs.45.6600,
20-Jan-10,Equity,Stock Exchange,2121.9,2395,-273.1,-59.86,Rs.45.6200,
20-Jan-10,Equity,Primary market & others,1.8,180.3,-178.4,-39.11,Rs.45.6200,
20-Jan-10,Equity,Sub-total,2123.7,2575.2,-451.5,-98.97,Rs.45.6200,
21-Jan-10,Equity,Stock Exchange,2703.2,2717.5,-14.3,-3.12,Rs.45.9500,
21-Jan-10,Equity,Primary market & others,8.6,26.5,-17.9,-3.91,Rs.45.9500,
21-Jan-10,Equity,Sub-total,2711.7,2744,-32.3,-7.03,Rs.45.9500,
22-Jan-10,Equity,Stock Exchange,2694.7,3261.5,-566.8,-123.29,Rs.45.9700,
22-Jan-10,Equity,Primary market & others,3.8,6.6,-2.8,-0.61,Rs.45.9700,
22-Jan-10,Equity,Sub-total,2698.6,3268.1,-569.5,-123.9,Rs.45.9700,
25-Jan-10,Equity,Stock Exchange,3092.5,5296.7,-2204.2,-477.41,Rs.46.1700,
25-Jan-10,Equity,Primary market & others,154.7,10,144.7,31.34,Rs.46.1700,
25-Jan-10,Equity,Sub-total,3247.2,5306.7,-2059.5,-446.06,Rs.46.1700,
27-Jan-10,Equity,Stock Exchange,1626.5,2519.9,-893.4,-193.45,Rs.46.1800,
27-Jan-10,Equity,Primary market & others,2.1,9.2,-7.1,-1.54,Rs.46.1800,
27-Jan-10,Equity,Sub-total,1628.7,2529.1,-900.4,-194.98,Rs.46.1800,
28-Jan-10,Equity,Stock Exchange,2947.9,4876.7,-1928.8,-416.67,Rs.46.2900,
28-Jan-10,Equity,Primary market & others,9.2,0.2,8.9,1.93,Rs.46.2900,
28-Jan-10,Equity,Sub-total,2957.1,4876.9,-1919.8,-414.74,Rs.46.2900,
29-Jan-10,Equity,Stock Exchange,3327.3,5659.3,-2332,-503.55,Rs.46.3100,
29-Jan-10,Equity,Primary market & others,168.8,0.6,168.2,36.31,Rs.46.3100,
29-Jan-10,Equity,Sub-total,3496.1,5659.9,-2163.8,-467.24,Rs.46.3100,
01-Feb-10,Equity,Stock Exchange,3008.6,3719.3,-710.8,-153.28,Rs.46.3700,
01-Feb-10,Equity,Primary market & others,931.5,23.2,908.2,195.87,Rs.46.3700,
01-Feb-10,Equity,Sub-total,3940,3742.6,197.5,42.59,Rs.46.3700,
02-Feb-10,Equity,Stock Exchange,2054.9,2372.8,-317.9,-68.6,Rs.46.3400,
02-Feb-10,Equity,Primary market & others,290.6,21.5,269.1,58.07,Rs.46.3400,
02-Feb-10,Equity,Sub-total,2345.5,2394.3,-48.8,-10.53,Rs.46.3400,
03-Feb-10,Equity,Stock Exchange,2487,2799.2,-312.2,-67.5,Rs.46.2500,
03-Feb-10,Equity,Primary market & others,323.1,0,323.1,69.85,Rs.46.2500,
03-Feb-10,Equity,Sub-total,2810.1,2799.2,10.9,2.35,Rs.46.2500,
04-Feb-10,Equity,Stock Exchange,2337.2,1887.8,449.5,97.63,Rs.46.0400,
04-Feb-10,Equity,Primary market & others,37.2,1,36.2,7.86,Rs.46.0400,
04-Feb-10,Equity,Sub-total,2374.4,1888.8,485.7,105.49,Rs.46.0400,
05-Feb-10,Equity,Stock Exchange,1732.3,1783.7,-51.4,-11.15,Rs.46.0900,
05-Feb-10,Equity,Primary market & others,9.3,0.4,8.9,1.92,Rs.46.0900,
05-Feb-10,Equity,Sub-total,1741.5,1784.1,-42.5,-9.22,Rs.46.0900,
08-Feb-10,Equity,Stock Exchange,1511.9,3145.6,-1633.7,-350.88,Rs.46.5600,
08-Feb-10,Equity,Primary market & others,5.9,1.9,4,0.87,Rs.46.5600,
08-Feb-10,Equity,Sub-total,1517.8,3147.5,-1629.7,-350.02,Rs.46.5600,
09-Feb-10,Equity,Stock Exchange,1708.3,2548.2,-839.9,-179.43,Rs.46.8100,
09-Feb-10,Equity,Primary market & others,33.5,0.1,33.4,7.13,Rs.46.8100,
09-Feb-10,Equity,Sub-total,1741.8,2548.3,-806.5,-172.3,Rs.46.8100,
10-Feb-10,Equity,Stock Exchange,1961.3,2373.5,-412.2,-88.31,Rs.46.6800,
10-Feb-10,Equity,Primary market & others,17.5,0.9,16.6,3.56,Rs.46.6800,
10-Feb-10,Equity,Sub-total,1978.8,2374.4,-395.6,-84.75,Rs.46.6800,
11-Feb-10,Equity,Stock Exchange,2363.2,2371.7,-8.5,-1.83,Rs.46.5600,
11-Feb-10,Equity,Primary market & others,13.6,28.7,-15.1,-3.24,Rs.46.5600,
11-Feb-10,Equity,Sub-total,2376.8,2400.4,-23.6,-5.07,Rs.46.5600,
