Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
11-Sep-07,Equity,1444.3,1507.1,-62.9,-15.5,Rs. 40.63,
12-Sep-07,Equity,2370.8,1925.1,445.6,109.8,Rs. 40.58,
13-Sep-07,Equity,2392.8,2110.9,281.9,69.6,Rs. 40.49,
14-Sep-07,Equity,2458.5,2505.1,-46.6,-11.5,Rs. 40.44,
17-Sep-07,Equity,3528.9,2369.5,1159.4,286.6,Rs. 40.45,
18-Sep-07,Equity,2307.8,2575.2,-267.4,-66.1,Rs. 40.47,
19-Sep-07,Equity,2989.0,3126.4,-137.4,-33.9,Rs. 40.59,
20-Sep-07,Equity,5770.0,3285.4,2484.5,617.1,Rs. 40.26,
21-Sep-07,Equity,4575.0,2945.5,1629.5,408.3,Rs. 39.91,
24-Sep-07,Equity,3856.7,2932.4,924.3,231.8,Rs. 39.87,
25-Sep-07,Equity,4854.2,3569.8,1284.4,322.6,Rs. 39.82,
26-Sep-07,Equity,4509.1,2958.9,1550.3,389.4,Rs. 39.81,
27-Sep-07,Equity,3810.7,2806.8,1004.0,252.9,Rs. 39.70,
28-Sep-07,Equity,7317.0,4883.7,2433.3,612.2,Rs. 39.75,
01-Oct-07,Equity,6303.6,2810.3,3493.3,879.0,Rs. 39.74,
03-Oct-07,Equity,4933.7,2737.7,2196.0,552.7,Rs. 39.73,
04-Oct-07,Equity,8194.5,5033.0,3161.5,794.5,Rs. 39.79,
05-Oct-07,Equity,4403.8,3828.8,575.0,145.3,Rs. 39.56,
09-Oct-07,Equity,9160.4,5740.6,3419.8,867.3,Rs. 39.43,
10-Oct-07,Equity,5364.4,3413.3,1951.1,493.3,Rs. 39.55,
11-Oct-07,Equity,6043.1,4295.3,1747.8,444.3,Rs. 39.34,
12-Oct-07,Equity,6301.7,5310.7,991.0,252.1,Rs. 39.31,
15-Oct-07,Equity,5510.9,4729.9,781.0,198.6,Rs. 39.33,
16-Oct-07,Equity,8184.0,4325.6,3858.5,981.5,Rs. 39.31,
17-Oct-07,Equity,6832.6,5678.5,1154.1,293.6,Rs. 39.31,
18-Oct-07,Equity,6076.5,7853.1,-1776.6,-447.7,Rs. 39.68,
19-Oct-07,Equity,8355.0,8229.4,125.7,31.8,Rs. 39.47,
22-Oct-07,Equity,6794.3,10009.7,-3215.4,-808.1,Rs. 39.79,
23-Oct-07,Equity,5580.9,6791.2,-1210.3,-304.2,Rs. 39.79,
24-Oct-07,Equity,6315.7,5538.7,777.0,195.8,Rs. 39.69,
25-Oct-07,Equity,6358.5,4497.4,1861.0,470.3,Rs. 39.57,
26-Oct-07,Equity,7678.5,7465.5,213.0,53.9,Rs. 39.54,
29-Oct-07,Equity,4077.9,4334.7,-256.8,-65.0,Rs. 39.51,
30-Oct-07,Equity,4782.8,3735.4,1047.4,266.0,Rs. 39.38,
