Reporting Date,Debt/Equity,Gross Purchases(Rs Crore),Gross Sales(Rs Crore),Net Investment (Rs Crore),Net Investment US($) million,Conversion (1 USD TO INR),nan
07-Jul-14,Equity,3583.24,2677.43,905.81,151.49,Rs.59.7939,
08-Jul-14,Equity,5716.82,5486.54,230.28,38.41,Rs.59.9455,
09-Jul-14,Equity,5148.61,4673.1,475.51,79.52,Rs.59.7968,
10-Jul-14,Equity,4421.27,3731.81,689.46,115.44,Rs.59.7260,
11-Jul-14,Equity,5060.89,4866.25,194.64,32.51,Rs.59.8750,
14-Jul-14,Equity,3645.59,4321.41,-675.82,-112.29,Rs.60.1855,
15-Jul-14,Equity,3015.83,3565.15,-549.32,-91.55,Rs.60.0050,
16-Jul-14,Equity,3021.87,3025.14,-3.27,-0.54,Rs.60.2195,
17-Jul-14,Equity,4498.59,3834.48,664.11,110.33,Rs.60.1903,
18-Jul-14,Equity,4439.32,2578.82,1860.5,309.36,Rs.60.1401,
21-Jul-14,Equity,3253.49,2677.58,575.91,95.46,Rs.60.3300,
22-Jul-14,Equity,2690.69,2475.09,215.6,35.82,Rs.60.1853,
23-Jul-14,Equity,3443.83,3071.58,372.25,61.8,Rs.60.2360,
24-Jul-14,Equity,3698.25,2976.56,721.69,119.92,Rs.60.1830,
25-Jul-14,Equity,3273.75,2982.96,290.79,48.46,Rs.60.0020,
28-Jul-14,Equity,3734.97,3616.92,118.05,19.63,Rs.60.1448,
30-Jul-14,Equity,2921.33,2808.31,113.02,18.8,Rs.60.1013,
31-Jul-14,Equity,6129.24,6427.16,-297.92,-49.53,Rs.60.1485,
01-Aug-14,Equity,7159.7,8674.26,-1514.56,-251.4,Rs.60.2460,
04-Aug-14,Equity,4652.77,5745.69,-1092.92,-179.61,Rs.60.8510,
05-Aug-14,Equity,4240.92,3809.99,430.93,70.62,Rs.61.0187,
06-Aug-14,Equity,3000.98,2970.88,30.1,4.95,Rs.60.8690,
07-Aug-14,Equity,4055.91,3734.58,321.33,52.39,Rs.61.3360,
08-Aug-14,Equity,3071.61,2699.6,372.01,60.58,Rs.61.4123,
11-Aug-14,Equity,2756.26,3224.02,-467.76,-75.99,Rs.61.5575,
12-Aug-14,Equity,2796.57,2908.39,-111.82,-18.3,Rs.61.1165,
13-Aug-14,Equity,3079.97,2700.54,379.43,62.01,Rs.61.1847,
14-Aug-14,Equity,4733.58,4010.38,723.2,118.08,Rs.61.2458,
19-Aug-14,Equity,7496.62,6314.15,1182.47,193.66,Rs.61.0583,
20-Aug-14,Equity,4334.58,3694.13,640.45,105.47,Rs.60.7260,
21-Aug-14,Equity,3509.93,3204.33,305.6,50.37,Rs.60.6690,
22-Aug-14,Equity,3839.23,3334.5,504.73,83.06,Rs.60.7670,
25-Aug-14,Equity,3360.94,3023.32,337.62,55.86,Rs.60.4360,
26-Aug-14,Equity,2556.37,2391.35,165.02,27.31,Rs.60.4270,
27-Aug-14,Equity,3189.97,2767.73,422.24,69.8,Rs.60.4960,
28-Aug-14,Equity,3611.82,3138.19,473.63,78.33,Rs.60.4678,
01-Sep-14,Equity,6773.08,7222.03,-448.95,-74.24,Rs.60.4745,
02-Sep-14,Equity,3829.77,3273.17,556.6,92.04,Rs.60.4735,
03-Sep-14,Equity,3887.2,3189.52,697.68,115.11,Rs.60.6100,
04-Sep-14,Equity,6165.21,4863.78,1301.43,214.72,Rs.60.6100,
05-Sep-14,Equity,5451.7,3739.62,1712.08,283.2,Rs.60.4540,
08-Sep-14,Equity,3810.9,3495.73,315.17,52.15,Rs.60.4385,
09-Sep-14,Equity,4375.38,3249.09,1126.29,186.9,Rs.60.2628,
10-Sep-14,Equity,2720.12,2179.07,541.05,89.54,Rs.60.4277,
11-Sep-14,Equity,3123.34,3063.39,59.95,9.86,Rs.60.8256,
12-Sep-14,Equity,3758.6,3292.71,465.89,76.48,Rs.60.9155,
15-Sep-14,Equity,3749.3,3504.49,244.81,40.19,Rs.60.9155,
16-Sep-14,Equity,3034.1,3097.94,-63.84,-10.47,Rs.60.9945,
17-Sep-14,Equity,3156.92,3902.93,-746.01,-122.09,Rs.61.1015,
18-Sep-14,Equity,4295.89,4119.06,176.83,29.01,Rs.60.9540,
19-Sep-14,Equity,3388.57,3295.6,92.97,15.23,Rs.61.0558,
22-Sep-14,Equity,9092.5,8969.09,123.41,20.3,Rs.60.8055,
23-Sep-14,Equity,2666.53,2600.25,66.28,10.9,Rs.60.7875,
24-Sep-14,Equity,3942.58,4885.04,-942.46,-154.83,Rs.60.8708,
25-Sep-14,Equity,3547.07,4236.15,-689.08,-112.91,Rs.61.0293,
26-Sep-14,Equity,5369.22,5785.25,-416.03,-68.17,Rs.61.0245,
29-Sep-14,Equity,3637.85,3884.91,-247.06,-40.13,Rs.61.5720,
30-Sep-14,Equity,2644.55,2433.77,210.78,34.31,Rs.61.4273,
01-Oct-14,Equity,4506.66,4947.78,-441.12,-71.59,Rs.61.6135,
07-Oct-14,Equity,3641.99,3349.55,292.44,47.36,Rs.61.7511,
08-Oct-14,Equity,5094.83,5134.68,-39.85,-6.49,Rs.61.3595,
09-Oct-14,Equity,3265.97,4457.4,-1191.43,-193.84,Rs.61.4648,
10-Oct-14,Equity,3147.82,3133.84,13.98,2.29,Rs.61.0368,
13-Oct-14,Equity,2576.75,3226.31,-649.56,-106.2,Rs.61.1624,
14-Oct-14,Equity,2498.49,3070.31,-571.82,-93.37,Rs.61.2455,
16-Oct-14,Equity,2921.92,3601.71,-679.79,-111.24,Rs.61.1078,
17-Oct-14,Equity,4205.07,5302.18,-1097.11,-178.45,Rs.61.4795,
20-Oct-14,Equity,3582.6,4979.18,-1396.58,-226.66,Rs.61.6165,
21-Oct-14,Equity,5668.65,4299.73,1368.92,223.36,Rs.61.2873,
22-Oct-14,Equity,4726.59,4653.86,72.73,11.87,Rs.61.2967,
27-Oct-14,Equity,3755.63,3685.19,70.44,11.5,Rs.61.2355,
28-Oct-14,Equity,3914.88,3856.21,58.67,9.58,Rs.61.2290,
29-Oct-14,Equity,3708.92,3776.09,-67.17,-10.95,Rs.61.3524,
30-Oct-14,Equity,4405.77,3648.23,757.54,123.54,Rs.61.3175,
31-Oct-14,Equity,6639.29,5150.55,1488.74,242.21,Rs.61.4636,
03-Nov-14,Equity,5570.36,3780.93,1789.43,291.4,Rs.61.4080,
05-Nov-14,Equity,4483.09,3023.79,1459.3,237.63,Rs.61.4118,
07-Nov-14,Equity,7113.17,6098.5,1014.67,165.29,Rs.61.3870,
10-Nov-14,Equity,8097.12,5515.34,2581.78,419.66,Rs.61.5205,
11-Nov-14,Equity,4334.35,3962.65,371.7,60.49,Rs.61.4513,
12-Nov-14,Equity,4449.37,3994.85,454.52,73.85,Rs.61.5500,
13-Nov-14,Equity,4123.02,3668.33,454.69,73.96,Rs.61.4785,
14-Nov-14,Equity,3935.15,3251.14,684.01,111.12,Rs.61.5560,
17-Nov-14,Equity,4986.59,4316.61,669.98,108.68,Rs.61.6475,
18-Nov-14,Equity,3703.56,2949.0,754.56,122.34,Rs.61.6780,
19-Nov-14,Equity,3909.9,3893.75,16.15,2.61,Rs.61.8080,
20-Nov-14,Equity,4343.57,4115.96,227.61,36.81,Rs.61.8280,
21-Nov-14,Equity,3156.58,3568.72,-412.14,-66.36,Rs.62.1044,
24-Nov-14,Equity,4166.73,3899.08,267.65,43.27,Rs.61.8505,
25-Nov-14,Equity,4382.8,3966.13,416.67,67.44,Rs.61.7798,
26-Nov-14,Equity,13083.95,11861.99,1221.96,197.35,Rs.61.9195,
27-Nov-14,Equity,3574.2,3437.46,136.74,22.1,Rs.61.8658,
28-Nov-14,Equity,5540.06,4972.24,567.82,91.78,Rs.61.8650,
01-Dec-14,Equity,5161.25,4167.93,993.32,160.28,Rs.61.9736,
02-Dec-14,Equity,4341.63,4283.51,58.12,9.35,Rs.62.1377,
03-Dec-14,Equity,3577.51,3446.91,130.6,21.09,Rs.61.9255,
04-Dec-14,Equity,4758.95,4341.78,417.17,67.41,Rs.61.8866,
05-Dec-14,Equity,4042.34,3430.28,612.06,98.92,Rs.61.8771,
08-Dec-14,Equity,4221.11,4218.89,2.22,0.36,Rs.61.8535,
09-Dec-14,Equity,8206.49,3228.46,4978.03,803.88,Rs.61.9253,
10-Dec-14,Equity,3671.92,3897.73,-225.81,-36.49,Rs.61.8750,
11-Dec-14,Equity,3733.14,3778.37,-45.23,-7.3,Rs.61.9500,
12-Dec-14,Equity,3733.03,4450.98,-717.95,-115.42,Rs.62.2059,
15-Dec-14,Equity,3251.48,4064.83,-813.35,-130.26,Rs.62.4422,
16-Dec-14,Equity,3299.59,3731.1,-431.51,-68.87,Rs.62.6529,
17-Dec-14,Equity,3999.62,5240.29,-1240.67,-195.65,Rs.63.4135,
18-Dec-14,Equity,4460.83,6078.82,-1617.99,-254.48,Rs.63.5813,
19-Dec-14,Equity,3577.1,4399.98,-822.88,-129.96,Rs.63.3161,
22-Dec-14,Equity,5244.36,5885.51,-641.15,-101.66,Rs.63.0670,
23-Dec-14,Equity,2563.16,2853.98,-290.82,-46.03,Rs.63.1757,
24-Dec-14,Equity,2167.77,2573.15,-405.38,-63.89,Rs.63.4475,
26-Dec-14,Equity,6083.88,7894.23,-1810.35,-285.27,Rs.63.4614,
29-Dec-14,Equity,601.34,554.82,46.52,7.31,Rs.63.6355,
30-Dec-14,Equity,1419.0,1581.74,-162.74,-25.57,Rs.63.6539,
31-Dec-14,Equity,1679.59,1398.97,280.62,44.02,Rs.63.7498,
01-Jan-15,Equity,2337.7,1861.75,475.95,75.15,Rs.63.3315,
02-Jan-15,Equity,248.32,221.39,26.93,4.25,Rs.63.3213,
05-Jan-15,Equity,2079.55,1816.55,263.0,41.56,Rs.63.2878,
06-Jan-15,Equity,2569.34,2080.98,488.36,77.04,Rs.63.3888,
07-Jan-15,Equity,3140.81,4675.01,-1534.2,-242.04,Rs.63.3850,
08-Jan-15,Equity,3293.03,4304.39,-1011.36,-159.4,Rs.63.4495,
09-Jan-15,Equity,4705.31,5146.36,-441.05,-70.04,Rs.62.9670,
12-Jan-15,Equity,4192.01,4459.69,-267.68,-42.9,Rs.62.3953,
13-Jan-15,Equity,3290.04,3034.63,255.41,41.09,Rs.62.1605,
14-Jan-15,Equity,5046.65,4784.33,262.32,42.24,Rs.62.1021,
15-Jan-15,Equity,4246.01,4271.72,-25.71,-4.14,Rs.62.1530,
16-Jan-15,Equity,7407.29,5667.42,1739.87,281.72,Rs.61.7588,
19-Jan-15,Equity,6748.22,5532.06,1216.16,196.49,Rs.61.8933,
20-Jan-15,Equity,3696.17,3279.16,417.01,67.59,Rs.61.6990,
21-Jan-15,Equity,4797.71,3477.29,1320.42,213.5,Rs.61.8475,
22-Jan-15,Equity,7229.18,5100.28,2128.9,345.52,Rs.61.6140,
23-Jan-15,Equity,5410.97,4724.35,686.62,111.3,Rs.61.6910,
27-Jan-15,Equity,7181.13,5081.91,2099.22,341.34,Rs.61.4988,
28-Jan-15,Equity,7843.74,6742.2,1101.54,179.22,Rs.61.4640,
29-Jan-15,Equity,7238.37,5544.76,1693.61,275.79,Rs.61.4105,
30-Jan-15,Equity,8775.21,6984.02,1791.19,291.25,Rs.61.4998,
02-Feb-15,Equity,6990.66,6812.71,177.95,28.81,Rs.61.7575,
03-Feb-15,Equity,5618.38,6204.86,-586.48,-94.77,Rs.61.8840,
04-Feb-15,Equity,5759.33,5802.52,-43.19,-7.0,Rs.61.7389,
05-Feb-15,Equity,5079.01,5100.23,-21.22,-3.44,Rs.61.6800,
06-Feb-15,Equity,4505.74,4528.86,-23.12,-3.74,Rs.61.8748,
09-Feb-15,Equity,4121.54,4193.28,-71.74,-11.62,Rs.61.7363,
10-Feb-15,Equity,3163.43,3793.3,-629.87,-101.36,Rs.62.1410,
11-Feb-15,Equity,4328.64,5561.47,-1232.83,-198.96,Rs.61.9634,
12-Feb-15,Equity,3933.71,4285.57,-351.86,-56.61,Rs.62.1536,
13-Feb-15,Equity,4360.08,4640.97,-280.89,-44.99,Rs.62.4300,
16-Feb-15,Equity,4600.33,4084.15,516.18,83.07,Rs.62.1360,
18-Feb-15,Equity,3716.27,3714.87,1.4,0.23,Rs.62.2023,
20-Feb-15,Equity,11589.02,7644.22,3944.8,634.87,Rs.62.1360,
23-Feb-15,Equity,3314.59,3350.6,-36.01,-5.78,Rs.62.2550,
24-Feb-15,Equity,4798.75,4053.14,745.61,119.9,Rs.62.1838,
25-Feb-15,Equity,5480.81,4449.42,1031.39,165.62,Rs.62.2758,
26-Feb-15,Equity,4772.58,4480.12,292.46,47.14,Rs.62.0468,
27-Feb-15,Equity,8535.12,6045.33,2489.79,401.97,Rs.61.9395,
02-Mar-15,Equity,11314.57,8591.24,2723.33,440.73,Rs.61.7908,
03-Mar-15,Equity,6735.65,6266.86,468.79,75.83,Rs.61.8248,
04-Mar-15,Equity,5739.95,4892.11,847.84,137.11,Rs.61.8387,
05-Mar-15,Equity,7628.17,4826.93,2801.24,452.88,Rs.61.8543,
09-Mar-15,Equity,4952.47,4920.45,32.02,5.15,Rs.62.2015,
10-Mar-15,Equity,5756.21,4846.49,909.72,145.29,Rs.62.6160,
11-Mar-15,Equity,4300.05,4992.88,-692.83,-110.5,Rs.62.6983,
12-Mar-15,Equity,4347.34,4717.59,-370.25,-59.01,Rs.62.7450,
13-Mar-15,Equity,5437.13,4610.36,826.77,132.14,Rs.62.5665,
16-Mar-15,Equity,4833.27,4705.84,127.43,20.33,Rs.62.6733,
17-Mar-15,Equity,4581.0,5290.98,-709.98,-113.02,Rs.62.8215,
18-Mar-15,Equity,5124.8,4861.07,263.73,42.07,Rs.62.6920,
19-Mar-15,Equity,3946.99,4418.43,-471.44,-75.22,Rs.62.6720,
20-Mar-15,Equity,5990.77,4502.31,1488.46,238.46,Rs.62.4208,
23-Mar-15,Equity,7566.46,7150.21,416.25,66.61,Rs.62.4923,
24-Mar-15,Equity,3076.43,2642.17,434.26,69.72,Rs.62.2879,
25-Mar-15,Equity,4652.18,3888.54,763.64,122.77,Rs.62.1988,
26-Mar-15,Equity,6938.84,6064.55,874.29,140.24,Rs.62.3419,
27-Mar-15,Equity,7739.62,8259.19,-519.57,-82.9,Rs.62.6728,
30-Mar-15,Equity,4942.72,5206.77,-264.05,-42.18,Rs.62.6069,
31-Mar-15,Equity,3774.81,3569.37,205.44,32.8,Rs.62.6305,
06-Apr-15,Equity,9286.69,8452.04,834.65,133.35,Rs.62.5908,
07-Apr-15,Equity,4435.71,3421.52,1014.19,163.16,Rs.62.1580,
08-Apr-15,Equity,3725.42,3491.33,234.09,37.56,Rs.62.3321,
09-Apr-15,Equity,4576.71,4872.1,-295.39,-47.39,Rs.62.3295,
10-Apr-15,Equity,5593.06,5298.54,294.52,47.31,Rs.62.2560,
13-Apr-15,Equity,4829.03,4449.17,379.86,60.91,Rs.62.3660,
15-Apr-15,Equity,3769.65,3309.99,459.66,73.68,Rs.62.3885,
16-Apr-15,Equity,6551.86,6319.37,232.49,37.26,Rs.62.4026,
17-Apr-15,Equity,4359.98,4574.45,-214.47,-34.39,Rs.62.3685,
20-Apr-15,Equity,4625.45,5293.26,-667.81,-107.11,Rs.62.3460,
21-Apr-15,Equity,5963.75,7411.62,-1447.87,-231.42,Rs.62.5633,
22-Apr-15,Equity,21254.9,4986.29,16268.61,2585.6,Rs.62.9200,
23-Apr-15,Equity,4932.1,5774.03,-841.93,-134.03,Rs.62.8183,
24-Apr-15,Equity,4902.29,5183.96,-281.67,-44.58,Rs.63.1850,
27-Apr-15,Equity,6282.9,7006.11,-723.21,-114.07,Rs.63.4006,
28-Apr-15,Equity,4991.42,6653.94,-1662.52,-261.35,Rs.63.6115,
29-Apr-15,Equity,4592.11,6117.26,-1525.15,-240.82,Rs.63.3305,
30-Apr-15,Equity,4457.7,5149.96,-692.26,-109.53,Rs.63.2025,
05-May-15,Equity,12819.99,15879.73,-3059.74,-481.26,Rs.63.5780,
06-May-15,Equity,4413.36,4995.16,-581.8,-91.59,Rs.63.5194,
07-May-15,Equity,5436.09,7071.93,-1635.84,-257.04,Rs.63.6425,
08-May-15,Equity,3988.95,5265.01,-1276.06,-199.76,Rs.63.8800,
11-May-15,Equity,4257.31,4612.06,-354.75,-55.39,Rs.64.0493,
12-May-15,Equity,4529.5,4149.84,379.66,59.46,Rs.63.8495,
13-May-15,Equity,4789.61,6130.6,-1340.99,-208.87,Rs.64.2020,
14-May-15,Equity,5209.88,5296.46,-86.58,-13.49,Rs.64.1895,
15-May-15,Equity,4485.54,4557.47,-71.93,-11.27,Rs.63.8380,
18-May-15,Equity,3658.42,3622.44,35.98,5.66,Rs.63.5788,
19-May-15,Equity,4933.56,5030.27,-96.71,-15.22,Rs.63.5543,
20-May-15,Equity,4910.36,4768.7,141.66,22.24,Rs.63.6868,
21-May-15,Equity,4306.04,4182.25,123.79,19.38,Rs.63.8655,
22-May-15,Equity,5938.66,6114.36,-175.7,-27.58,Rs.63.7000,
25-May-15,Equity,6270.9,6017.13,253.77,39.92,Rs.63.5728,
26-May-15,Equity,2466.78,2463.97,2.81,0.44,Rs.63.6228,
27-May-15,Equity,4085.29,3869.82,215.47,33.75,Rs.63.8450,
28-May-15,Equity,5103.04,5966.99,-863.95,-135.1,Rs.63.9475,
29-May-15,Equity,6844.03,7602.39,-758.36,-118.68,Rs.63.9010,
01-Jun-15,Equity,24655.41,22382.28,2273.13,356.51,Rs.63.7615,
02-Jun-15,Equity,4075.52,3937.69,137.83,21.67,Rs.63.6083,
03-Jun-15,Equity,4254.99,4927.99,-673.0,-105.43,Rs.63.8330,
04-Jun-15,Equity,4877.9,5595.1,-717.2,-112.33,Rs.63.8515,
05-Jun-15,Equity,4976.32,4437.88,538.44,83.9,Rs.64.1775,
08-Jun-15,Equity,3693.96,4173.09,-479.13,-74.99,Rs.63.8955,
09-Jun-15,Equity,2928.76,3674.09,-745.33,-116.26,Rs.64.1100,
10-Jun-15,Equity,3145.45,3825.01,-679.56,-106.29,Rs.63.9360,
11-Jun-15,Equity,3321.81,3749.09,-427.28,-66.88,Rs.63.8849,
12-Jun-15,Equity,3747.01,4331.84,-584.83,-91.54,Rs.63.8910,
15-Jun-15,Equity,3102.56,3775.39,-672.83,-105.08,Rs.64.0301,
16-Jun-15,Equity,3026.28,3612.14,-585.86,-91.42,Rs.64.0868,
17-Jun-15,Equity,3527.17,4019.01,-491.84,-76.67,Rs.64.1505,
18-Jun-15,Equity,4210.24,5045.51,-835.27,-130.28,Rs.64.1135,
19-Jun-15,Equity,4047.72,4694.47,-646.75,-101.29,Rs.63.8495,
22-Jun-15,Equity,6463.26,6571.37,-108.11,-16.94,Rs.63.8195,
23-Jun-15,Equity,3532.71,2828.54,704.17,110.88,Rs.63.5098,
24-Jun-15,Equity,3139.34,3452.56,-313.22,-49.22,Rs.63.6406,
25-Jun-15,Equity,4489.03,4344.2,144.83,22.75,Rs.63.6600,
26-Jun-15,Equity,6954.83,6626.5,328.33,51.61,Rs.63.6121,
29-Jun-15,Equity,3324.2,3457.17,-132.97,-20.91,Rs.63.6042,
30-Jun-15,Equity,2779.57,3447.65,-668.08,-104.52,Rs.63.9170,
01-Jul-15,Equity,5135.01,5630.37,-495.36,-77.7,Rs.63.7549,
02-Jul-15,Equity,4416.93,4321.52,95.41,14.99,Rs.63.6223,
03-Jul-15,Equity,3951.85,3377.73,574.12,90.31,Rs.63.5705,
06-Jul-15,Equity,2574.62,2223.43,351.19,55.4,Rs.63.3963,
07-Jul-15,Equity,2880.4,2672.91,207.49,32.64,Rs.63.5785,
08-Jul-15,Equity,3745.12,3602.05,143.07,22.58,Rs.63.3749,
09-Jul-15,Equity,6952.69,7280.47,-327.78,-51.56,Rs.63.5690,
10-Jul-15,Equity,3723.77,3896.78,-173.01,-27.24,Rs.63.5065,
13-Jul-15,Equity,5047.41,5386.59,-339.18,-53.52,Rs.63.3793,
14-Jul-15,Equity,3475.24,2923.06,552.18,87.0,Rs.63.4655,
15-Jul-15,Equity,3151.6,2843.41,308.19,48.54,Rs.63.4978,
16-Jul-15,Equity,3367.63,2865.38,502.25,79.24,Rs.63.3847,
17-Jul-15,Equity,3238.77,2484.1,754.67,118.85,Rs.63.4955,
20-Jul-15,Equity,3395.86,2725.94,669.92,105.51,Rs.63.4928,
21-Jul-15,Equity,3287.24,2498.66,788.58,124.08,Rs.63.5510,
22-Jul-15,Equity,4360.92,4556.42,-195.5,-30.71,Rs.63.6506,
23-Jul-15,Equity,4001.57,3526.02,475.55,74.85,Rs.63.5283,
24-Jul-15,Equity,3848.36,3553.74,294.62,46.24,Rs.63.7138,
27-Jul-15,Equity,3444.2,3412.58,31.62,4.95,Rs.63.8916,
28-Jul-15,Equity,3904.56,4664.95,-760.39,-118.8,Rs.64.0028,
29-Jul-15,Equity,4199.3,5545.25,-1345.95,-210.21,Rs.64.0270,
30-Jul-15,Equity,4322.48,4443.54,-121.06,-18.95,Rs.63.8943,
31-Jul-15,Equity,5358.44,5483.88,-125.44,-19.6,Rs.64.0061,
03-Aug-15,Equity,5594.09,5819.42,-225.33,-35.2,Rs.64.0054,
04-Aug-15,Equity,4494.03,4053.94,440.09,68.8,Rs.63.9623,
05-Aug-15,Equity,6042.64,5707.53,335.11,52.42,Rs.63.9315,
06-Aug-15,Equity,4706.51,3977.88,728.63,114.18,Rs.63.8159,
07-Aug-15,Equity,4063.85,3780.61,283.24,44.42,Rs.63.7603,
10-Aug-15,Equity,3665.85,3673.07,-7.22,-1.14,Rs.63.8061,
11-Aug-15,Equity,3572.47,3505.44,67.03,10.51,Rs.63.7590,
12-Aug-15,Equity,3540.32,4175.31,-634.99,-98.95,Rs.64.1732,
13-Aug-15,Equity,3776.25,5570.52,-1794.27,-276.78,Rs.64.8270,
14-Aug-15,Equity,3906.9,4396.81,-489.91,-75.46,Rs.64.9212,
17-Aug-15,Equity,4444.47,3983.01,461.46,70.86,Rs.65.1225,
19-Aug-15,Equity,6977.71,6956.09,21.62,3.31,Rs.65.2200,
20-Aug-15,Equity,3133.53,3432.88,-299.35,-45.88,Rs.65.2525,
21-Aug-15,Equity,4702.75,5661.28,-958.53,-146.93,Rs.65.2385,
24-Aug-15,Equity,4582.1,6875.08,-2292.98,-348.32,Rs.65.8298,
25-Aug-15,Equity,4770.14,9933.61,-5163.47,-776.35,Rs.66.5093,
26-Aug-15,Equity,6669.4,8607.59,-1938.19,-290.54,Rs.66.7090,
27-Aug-15,Equity,5045.36,7386.29,-2340.93,-353.82,Rs.66.1610,
28-Aug-15,Equity,7546.6,10669.53,-3122.93,-472.74,Rs.66.0605,
31-Aug-15,Equity,5683.22,5594.84,88.38,13.37,Rs.66.0808,
01-Sep-15,Equity,9728.96,10287.59,-558.63,-84.25,Rs.66.3062,
02-Sep-15,Equity,4299.0,4950.8,-651.8,-98.37,Rs.66.2603,
03-Sep-15,Equity,4564.5,6090.31,-1525.81,-230.61,Rs.66.1638,
04-Sep-15,Equity,3336.8,3669.05,-332.25,-50.17,Rs.66.2280,
07-Sep-15,Equity,3498.74,4732.62,-1233.88,-185.82,Rs.66.4003,
08-Sep-15,Equity,2340.65,3150.61,-809.96,-121.35,Rs.66.7445,
09-Sep-15,Equity,2968.62,3604.06,-635.44,-95.4,Rs.66.6060,
10-Sep-15,Equity,4140.69,4545.79,-405.1,-61.11,Rs.66.2945,
11-Sep-15,Equity,3574.99,3598.7,-23.71,-3.56,Rs.66.5840,
14-Sep-15,Equity,2561.16,3193.51,-632.35,-95.25,Rs.66.3866,
15-Sep-15,Equity,2617.61,2511.71,105.9,15.96,Rs.66.3708,
16-Sep-15,Equity,2843.6,3715.03,-871.43,-131.16,Rs.66.4383,
18-Sep-15,Equity,3808.99,4120.16,-311.17,-46.79,Rs.66.5000,
21-Sep-15,Equity,10731.47,9962.98,768.49,116.57,Rs.65.9255,
22-Sep-15,Equity,3570.83,3402.21,168.62,25.64,Rs.65.7531,
23-Sep-15,Equity,3936.05,4900.34,-964.29,-146.94,Rs.65.6250,
24-Sep-15,Equity,2995.44,4294.69,-1299.25,-196.95,Rs.65.9696,
28-Sep-15,Equity,5761.63,5847.92,-86.29,-13.05,Rs.66.0993,
29-Sep-15,Equity,3259.16,3936.87,-677.71,-102.56,Rs.66.0805,
30-Sep-15,Equity,4128.24,5239.46,-1111.22,-167.9,Rs.66.1843,
01-Oct-15,Equity,7123.48,6891.03,232.45,35.36,Rs.65.7418,
05-Oct-15,Equity,4114.85,4018.37,96.48,14.72,Rs.65.5540,
06-Oct-15,Equity,5297.53,4500.43,797.1,122.09,Rs.65.2905,
07-Oct-15,Equity,4416.29,3867.82,548.47,83.88,Rs.65.3908,
08-Oct-15,Equity,4079.06,4089.63,-10.57,-1.62,Rs.65.2571,
09-Oct-15,Equity,4084.06,4117.86,-33.8,-5.19,Rs.65.1570,
12-Oct-15,Equity,3592.61,3105.83,486.78,75.14,Rs.64.7848,
13-Oct-15,Equity,2779.37,2459.79,319.58,49.37,Rs.64.7260,
14-Oct-15,Equity,3629.82,3306.98,322.84,49.65,Rs.65.0215,
15-Oct-15,Equity,3578.36,3414.64,163.72,25.14,Rs.65.1123,
16-Oct-15,Equity,3669.02,3261.37,407.65,62.88,Rs.64.8240,
19-Oct-15,Equity,3534.15,2990.36,543.79,83.7,Rs.64.9697,
20-Oct-15,Equity,3467.02,2395.13,1071.89,165.37,Rs.64.8178,
21-Oct-15,Equity,4498.5,3855.98,642.52,99.02,Rs.64.8908,
23-Oct-15,Equity,2973.91,2885.0,88.91,13.65,Rs.65.1513,
26-Oct-15,Equity,4579.72,4310.62,269.1,41.47,Rs.64.8815,
27-Oct-15,Equity,4139.21,3371.32,767.89,118.21,Rs.64.9603,
28-Oct-15,Equity,5205.02,5134.44,70.58,10.87,Rs.64.9553,
29-Oct-15,Equity,4427.51,5075.73,-648.22,-99.66,Rs.65.0408,
30-Oct-15,Equity,5668.03,5446.42,221.61,34.01,Rs.65.1515,
02-Nov-15,Equity,3401.04,4776.26,-1375.22,-210.85,Rs.65.2231,
03-Nov-15,Equity,3284.9,3472.42,-187.52,-28.64,Rs.65.4793,
04-Nov-15,Equity,3185.61,3565.23,-379.62,-58.0,Rs.65.4510,
05-Nov-15,Equity,3528.95,3461.61,67.34,10.27,Rs.65.5680,
06-Nov-15,Equity,3855.6,4847.31,-991.71,-151.0,Rs.65.6755,
09-Nov-15,Equity,3156.73,2893.72,263.01,39.98,Rs.65.7910,
10-Nov-15,Equity,3816.78,4604.78,-788.0,-118.79,Rs.66.3378,
13-Nov-15,Equity,3413.67,4007.42,-593.75,-89.49,Rs.66.3495,
16-Nov-15,Equity,5560.96,6226.24,-665.28,-100.59,Rs.66.1390,
17-Nov-15,Equity,3369.68,4319.3,-949.62,-143.58,Rs.66.1390,
18-Nov-15,Equity,3507.82,3939.07,-431.25,-65.17,Rs.66.1690,
19-Nov-15,Equity,3002.63,3723.4,-720.77,-109.02,Rs.66.1138,
20-Nov-15,Equity,3484.43,3791.85,-307.42,-46.5,Rs.66.1105,
23-Nov-15,Equity,3282.56,3378.27,-95.71,-14.48,Rs.66.0940,
24-Nov-15,Equity,3142.62,3170.15,-27.53,-4.15,Rs.66.3490,
26-Nov-15,Equity,3256.38,3762.9,-506.52,-76.3,Rs.66.3840,
27-Nov-15,Equity,5988.4,6256.35,-267.95,-40.26,Rs.66.5507,
30-Nov-15,Equity,2819.65,3275.36,-455.71,-68.27,Rs.66.7503,
01-Dec-15,Equity,11803.49,12734.35,-930.86,-139.32,Rs.66.8148,
02-Dec-15,Equity,5755.06,5899.11,-144.05,-21.66,Rs.66.5180,
03-Dec-15,Equity,3797.19,3561.63,235.56,35.36,Rs.66.6158,
04-Dec-15,Equity,3198.27,3734.02,-535.75,-80.27,Rs.66.7450,
